Local Terms	Meaning	Source
Kopi O	Black Coffee with Sugar	https://daneshd.com/2010/02/28/a-rough-guide-to-ordering-local-coffee-in-singapore/
Kopi	Black Coffee with Condensed Milk	https://daneshd.com/2010/02/28/a-rough-guide-to-ordering-local-coffee-in-singapore/
Kopi C	Black Coffee with Evaporated Milk	https://daneshd.com/2010/02/28/a-rough-guide-to-ordering-local-coffee-in-singapore/
Kopi Kosong	Black Coffee without sugar or milk	https://daneshd.com/2010/02/28/a-rough-guide-to-ordering-local-coffee-in-singapore/
Kopi Gah Dai	Black Coffee with extra condensed milk	https://daneshd.com/2010/02/28/a-rough-guide-to-ordering-local-coffee-in-singapore/
Kopi Siew Dai	Coffee with Condensed Milk but less sugar	https://daneshd.com/2010/02/28/a-rough-guide-to-ordering-local-coffee-in-singapore/
Kopi O Siew Dai	Black Coffee with less sugar	https://daneshd.com/2010/02/28/a-rough-guide-to-ordering-local-coffee-in-singapore/
Kopi Po	Coffee with Condensed Milk but weaker (they add more water)	https://daneshd.com/2010/02/28/a-rough-guide-to-ordering-local-coffee-in-singapore/
Kopi O Po	Black Coffee with Sugar but weaker (they add more water)	https://daneshd.com/2010/02/28/a-rough-guide-to-ordering-local-coffee-in-singapore/
Kopi Gau	Strong Coffee with Condensed Milk	https://daneshd.com/2010/02/28/a-rough-guide-to-ordering-local-coffee-in-singapore/
Kopi O Gau	Strong Black Coffee with Sugar	https://daneshd.com/2010/02/28/a-rough-guide-to-ordering-local-coffee-in-singapore/
Kopi Peng	Iced Coffee with Condensed Milk	https://daneshd.com/2010/02/28/a-rough-guide-to-ordering-local-coffee-in-singapore/
Kopi O Peng	Iced Black Coffee with sugar	https://daneshd.com/2010/02/28/a-rough-guide-to-ordering-local-coffee-in-singapore/
Kopi Gau Peng	Strong Iced Coffee with Condensed Milk	https://daneshd.com/2010/02/28/a-rough-guide-to-ordering-local-coffee-in-singapore/
Kopi O Gau Peng	Strong Black Coffee with Sugar	https://daneshd.com/2010/02/28/a-rough-guide-to-ordering-local-coffee-in-singapore/
Kopi Kosong Peng	Iced black coffee without sugar	https://daneshd.com/2010/02/28/a-rough-guide-to-ordering-local-coffee-in-singapore/
Kopi Gau Kosong Peng	Iced Strong Black coffee without Sugar or milk	https://daneshd.com/2010/02/28/a-rough-guide-to-ordering-local-coffee-in-singapore/
Kopi	Hot coffee with condensed milk and sugar	http://www.lotusrelocation.com/art-ordering-drink-singapore-coffee-shops/
Kopi Siew Dai	Hot coffee with condensed milk and lesser sugar	http://www.lotusrelocation.com/art-ordering-drink-singapore-coffee-shops/
Kopi Ga Dai	Hot coffee with condensed milk and more sugar	http://www.lotusrelocation.com/art-ordering-drink-singapore-coffee-shops/
Kopi Po	Hot coffee with condensed milk and sugar, and lesser coffee powder	http://www.lotusrelocation.com/art-ordering-drink-singapore-coffee-shops/
Kopi Gau	Hot coffee with condensed milk and sugar, and more coffee powder	http://www.lotusrelocation.com/art-ordering-drink-singapore-coffee-shops/
Kopi Po Siew Dai	Hot coffee with condensed milk and lesser coffee powder and lesser sugar	http://www.lotusrelocation.com/art-ordering-drink-singapore-coffee-shops/
Kopi Po Ga Dai	Hot coffee with condensed milk and lesser coffee powder and more sugar	http://www.lotusrelocation.com/art-ordering-drink-singapore-coffee-shops/
